Player,year,length,avg_salary,cap,poc,Pos,Age,Tm,G,FG,FGA,FG.,X3P,X3PA,X3P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,TS.,X3PAr,FTr,USG.,OWS,DWS,OBPM,DBPM
Ron Baker,2017,2,4450000,99093000,0.04490730929530845,SG,23,NYK,52,1.6,4.2,0.378,0.4,1.7,0.267,0.5,0.8,0.651,0.2,1.7,1.9,2.1,0.7,0.2,1.1,4.1,0.456,0.396,0.198,14.8,-0.6,0.5,-4.5,-0.3
LeBron James,2018,4,38327500,101869000,0.3762430179936978,PF,33,CLE,82,10.5,19.3,0.542,1.8,5,0.367,4.7,6.5,0.731,1.2,7.5,8.6,9.1,1.4,0.9,4.2,27.5,0.621,0.257,0.336,31.6,11,3,7.3,1.4
Nikola Jokić,2018,5,29541999.999999996,101869000,0.28999990183470925,C,22,DEN,75,6.7,13.5,0.499,1.5,3.7,0.396,3.5,4.2,0.85,2.6,8.1,10.7,6.1,1.2,0.8,2.8,18.5,0.603,0.277,0.31,24.2,7.8,2.9,5.3,1.6
Kevin Durant,2018,2,30750000,101869000,0.3018582689532635,SF,29,GSW,68,9.3,18,0.516,2.5,6.1,0.419,5.3,5.9,0.889,0.5,6.4,6.8,5.4,0.7,1.8,3,26.4,0.64,0.338,0.331,30.4,7.5,2.9,6.7,0.6
Clint Capela,2018,5,17500000,101869000,0.1717892587538898,C,23,HOU,74,6,9.1,0.652,0,0,0,1.9,3.5,0.56,3.3,7.6,10.8,0.9,0.8,1.9,1.4,13.9,0.65,0.001,0.38,19.4,6.2,4.1,2.4,1
Chris Paul,2018,4,39932500,101869000,0.3919985471536974,PG,32,HOU,58,6.3,13.8,0.46,2.5,6.5,0.38,3.5,3.8,0.919,0.6,4.8,5.4,7.9,1.7,0.2,2.2,18.6,0.604,0.475,0.277,24.5,7.5,2.7,5.2,1.8
DeAndre Jordan,2018,1,22897000.000000004,101869000,0.22476906615358946,C,29,LAC,77,4.8,7.5,0.645,0,0,NA,2.4,4.1,0.58,4.3,10.9,15.2,1.5,0.5,0.9,1.8,12,0.648,0,0.54,15.2,6,3.4,1.7,-0.3
Paul George,2018,4,34227500,101869000,0.3359952487999293,SF,27,OKC,79,7.3,17,0.43,3.1,7.7,0.401,4.3,5.2,0.822,0.9,4.7,5.7,3.3,2,0.5,2.7,21.9,0.57,0.454,0.307,25.7,5,3.9,2.3,0.6
Derrick Favors,2018,2,16900000,101869000,0.16589934131089928,C,26,UTA,77,5.1,9.1,0.563,0.2,0.8,0.222,1.8,2.8,0.651,2.6,4.6,7.2,1.3,0.7,1.1,1.1,12.3,0.593,0.09,0.306,18.5,4.5,3.5,0.9,0.7
Dwight Howard,2018,2,5470499.999999999,101869000,0.053701322286465944,C,32,CHO,81,6.2,11.2,0.555,0,0.1,0.143,4.1,7.2,0.574,3.1,9.3,12.5,1.3,0.6,1.6,2.6,16.6,0.577,0.008,0.639,24.2,2.9,3.9,-0.3,0.1
Julius Randle,2018,2,8857000.000000002,101869000,0.08694499798761156,C,23,LAL,82,6.1,11,0.558,0.1,0.5,0.222,3.7,5.2,0.718,2.2,5.8,8,2.6,0.5,0.5,2.6,16.1,0.606,0.05,0.47,25.3,4,2.6,0.6,0
J.J. Redick,2018,1,12250000,101869000,0.12025248112772285,SG,33,PHI,70,5.8,12.6,0.46,2.8,6.6,0.42,2.8,3.1,0.904,0.1,2.4,2.5,3,0.5,0.1,1.5,17.1,0.614,0.523,0.248,21.7,4.8,1.8,2.2,-1.1
Kyle Anderson,2018,4,9289000,101869000,0.09118573854656471,SF,24,SAS,74,3.1,5.9,0.527,0.3,0.8,0.333,1.4,2,0.712,1.1,4.2,5.4,2.7,1.6,0.8,1.3,7.9,0.582,0.13,0.333,13.5,2.4,3.8,-0.4,3.3
Will Barton,2018,4,13250000,101869000,0.1300690101993737,SG,27,DEN,81,5.7,12.7,0.452,1.9,5.2,0.37,2.2,2.8,0.805,0.9,4.2,5,4.1,1,0.6,1.8,15.7,0.562,0.411,0.22,20.7,4.4,1.8,1.6,-0.4
Montrezl Harrell,2018,2,6000000,101869000,0.058899174429905075,C,24,LAC,76,4.6,7.2,0.635,0,0.1,0.143,1.8,2.9,0.626,1.4,2.7,4,1,0.5,0.7,0.9,11,0.647,0.013,0.405,23.8,4.3,1.3,3.1,0.2
